
---------- Begin Simulation Statistics ----------
simSeconds                                   0.048072                       # Number of seconds simulated (Second)
simTicks                                  48071764000                       # Number of ticks simulated (Tick)
finalTick                                11997222411500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1005.94                       # Real time elapsed on the host (Second)
hostTickRate                                 47787914                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    9899644                       # Number of bytes of host memory used (Byte)
simInsts                                    200000004                       # Number of instructions simulated (Count)
simOps                                      302359584                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   198819                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     300574                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         96143528                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.480718                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.080223                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       226480357                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4383                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      226439695                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    709                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               258433                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            316828                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 624                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            95738351                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.365193                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.680542                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  43746304     45.69%     45.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5192540      5.42%     51.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   7358117      7.69%     58.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7854514      8.20%     67.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7067101      7.38%     74.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   7332765      7.66%     82.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   6860034      7.17%     89.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5740862      6.00%     95.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   4586114      4.79%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              95738351                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   79977      5.95%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    13      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      5.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      5.95% # attempts to use FU when none available (Count)
